Spain, Live births by calendar year and age (Lexis squares, age in completed years (ACY))
Last modified: 06/05/2016
Year    Age        Total
1922     12-        0.09
1922     13         2.28
1922     14        25.00
1922     15       118.37
1922     16       472.81
1922     17      1401.37
1922     18      3369.12
1922     19      6857.39
1922     20     11564.73
1922     21     18702.63
1922     22     26761.62
1922     23     29246.87
1922     24     36624.22
1922     25     39878.89
1922     26     43144.12
1922     27     42356.07
1922     28     39588.43
1922     29     40563.09
1922     30     35844.94
1922     31     37576.24
1922     32     34023.13
1922     33     26163.14
1922     34     28035.86
1922     35     25824.60
1922     36     24810.12
1922     37     22275.30
1922     38     17410.77
1922     39     15070.61
1922     40     12414.60
1922     41     13595.89
1922     42      9771.64
1922     43      4896.42
1922     44      3449.14
1922     45      2167.89
1922     46      1597.36
1922     47      1180.44
1922     48       840.39
1922     49       689.49
1922     50       599.71
1922     51       377.44
1922     52        79.96
1922     53         9.05
1922     54         1.44
1922     55+        0.00
1923     12-        0.09
1923     13         2.71
1923     14        28.37
1923     15       139.45
1923     16       507.38
1923     17      1526.61
1923     18      3522.27
1923     19      6843.54
1923     20     12169.19
1923     21     18053.69
1923     22     26236.42
1923     23     34013.79
1923     24     34122.33
1923     25     39332.37
1923     26     41816.28
1923     27     44239.60
1923     28     43242.27
1923     29     40352.89
1923     30     38385.31
1923     31     31994.76
1923     32     34583.56
1923     33     32388.33
1923     34     25729.77
1923     35     26363.12
1923     36     22870.59
1923     37     21868.22
1923     38     19375.97
1923     39     14866.12
1923     40     12991.58
1923     41     10362.35
1923     42     10390.59
1923     43      7015.95
1923     44      3382.26
1923     45      2231.42
1923     46      1452.35
1923     47      1210.09
1923     48       932.09
1923     49       621.52
1923     50       571.18
1923     51       245.94
1923     52        77.48
1923     53        13.72
1923     54         1.41
1923     55+        0.00
1924     12-        0.07
1924     13         1.89
1924     14        19.76
1924     15        99.59
1924     16       429.67
1924     17      1334.39
1924     18      3454.73
1924     19      6755.91
1924     20     11261.08
1924     21     17781.34
1924     22     23495.19
1924     23     31350.42
1924     24     38230.70
1924     25     35806.47
1924     26     40575.59
1924     27     41965.59
1924     28     43602.83
1924     29     42277.44
1924     30     36548.56
1924     31     32655.54
1924     32     28276.40
1924     33     32218.79
1924     34     31680.00
1924     35     24677.93
1924     36     24230.89
1924     37     20815.47
1924     38     19461.12
1924     39     16542.06
1924     40     12706.09
1924     41     10381.75
1924     42      7710.88
1924     43      7363.59
1924     44      4889.87
1924     45      2209.16
1924     46      1554.33
1924     47      1183.67
1924     48      1095.44
1924     49       872.09
1924     50       767.27
1924     51       346.92
1924     52        71.16
1924     53        16.63
1924     54         2.39
1924     55+        0.00
1925     12-        0.11
1925     13         3.39
1925     14        37.77
1925     15       165.49
1925     16       544.17
1925     17      1511.66
1925     18      3204.62
1925     19      6350.73
1925     20     11031.46
1925     21     17350.91
1925     22     25492.53
1925     23     31513.07
1925     24     39422.10
1925     25     43442.38
1925     26     37061.71
1925     27     39969.66
1925     28     40049.63
1925     29     41424.37
1925     30     38096.55
1925     31     31599.90
1925     32     29559.25
1925     33     26979.50
