Year,Sex,Age,Exposure,M
1970,female,0,180000,0.015389
1970,female,1,186891.19,0.004465
1970,female,2,183318.89,0.003064
1970,female,3,187248.19,0.001928
1970,female,4,195642.37,0.001189
1970,female,5,199660.19,8.33e-4
1970,female,6,204460.35,5.99e-4
1970,female,7,204736.05,4.44e-4
1970,female,8,203450.84,3.54e-4
1970,female,9,201358.02,3.24e-4
1970,female,10,198020.15,3.49e-4
1970,female,11,195873.91,3.89e-4
1970,female,12,190357.63,4.43e-4
1970,female,13,187268.06,5.01e-4
1970,female,14,187762.72,5.56e-4
1970,female,15,181262.19,6.37e-4
1970,female,16,173436.09,7.1e-4
1970,female,17,169210.63,7.5e-4
1970,female,18,168965.6,7.49e-4
1970,female,19,157959.29,7.73e-4
1970,female,20,140110.02,8.17e-4
1970,female,21,125019.24,8.61e-4
1970,female,22,108518.92,9.43e-4
1970,female,23,93244.8,0.001059
1970,female,24,80941.02,0.001196
1970,female,25,84272.96,0.001147
1970,female,26,91883.53,0.001073
1970,female,27,92255.59,0.001115
1970,female,28,92478.44,0.001184
1970,female,29,94018.34,0.001259
1970,female,30,93826.63,0.001373
1970,female,31,90003.03,0.001528
1970,female,32,86732.74,0.001658
1970,female,33,85686.78,0.001724
1970,female,34,85926.58,0.001735
1970,female,35,83891.99,0.001773
1970,female,36,78869.08,0.001894
1970,female,37,76620.57,0.001978
1970,female,38,76312.5,0.002037
1970,female,39,74996.74,0.002145
1970,female,40,72164.67,0.002325
1970,female,41,70111.41,0.002498
1970,female,42,67688.91,0.0027
1970,female,43,64398.14,0.00296
1970,female,44,62009.16,0.003205
1970,female,45,58251.62,0.003556
1970,female,46,55328.07,0.003906
1970,female,47,55158.73,0.004091
1970,female,48,55533.41,0.004244
1970,female,49,51066.95,0.004824
1970,female,50,44647.89,0.005763
1970,female,51,41948.4,0.00638
1970,female,52,42227.91,0.006562
1970,female,53,40543.91,0.007045
1970,female,54,37128.36,0.0079
1970,female,55,36666.43,0.008218
1970,female,56,36732.03,0.008564
1970,female,57,35602.71,0.00939
1970,female,58,34972.16,0.01031
