Year    Age        ASFR
2015     12-    0.00000
2015     13     0.00004
2015     14     0.00026
2015     15     0.00092
2015     16     0.00248
2015     17     0.00540
2015     18     0.01063
2015     19     0.01975
2015     20     0.02880
2015     21     0.03878
2015     22     0.04925
2015     23     0.06163
2015     24     0.07764
2015     25     0.09619
2015     26     0.11177
2015     27     0.12818
2015     28     0.13835
2015     29     0.14285
2015     30     0.14351
2015     31     0.13843
2015     32     0.12754
2015     33     0.11444
2015     34     0.10084
2015     35     0.08975
2015     36     0.07612
2015     37     0.06075
2015     38     0.04946
2015     39     0.03794
2015     40     0.02727
2015     41     0.01899
2015     42     0.01204
2015     43     0.00724
2015     44     0.00392
2015     45     0.00215
2015     46     0.00099
2015     47     0.00042
2015     48     0.00028
2015     49     0.00018
2015     50     0.00008
2015     51     0.00006
2015     52     0.00003
2015     53     0.00003
2015     54     0.00002
2015     55+    0.00002
