Year    Age        Total
2014     12-        2.00
2014     13        17.00
2014     14       117.00
2014     15       375.00
2014     16       878.00
2014     17      1489.00
2014     18      2309.00
2014     19      3365.00
2014     20      4245.00
2014     21      4978.00
2014     22      5884.00
2014     23      7047.00
2014     24      8598.00
2014     25     10443.00
2014     26     12398.00
2014     27     15151.00
2014     28     18154.00
2014     29     21710.00
2014     30     25931.00
2014     31     28896.00
2014     32     31645.00
2014     33     33473.00
2014     34     33842.00
2014     35     32549.00
2014     36     29815.00
2014     37     25391.00
2014     38     20648.00
2014     39     15868.00
2014     40     11548.00
2014     41      7609.00
2014     42      4958.00
2014     43      3095.00
2014     44      1609.00
2014     45       918.00
2014     46       496.00
2014     47       249.00
2014     48       155.00
2014     49       101.00
2014     50        68.00
2014     51        26.00
2014     52         9.00
2014     53         6.00
2014     54        11.00
2014     55+        0.00
