  Year          Age             Female            Male           Total
  2014           0               540.00          662.00         1202.00
  2014           1                39.00           55.00           94.00
  2014           2                31.00           38.00           69.00
  2014           3                18.00           26.00           44.00
  2014           4                24.00           21.00           45.00
  2014           5                21.00           25.00           46.00
  2014           6                10.00           28.00           38.00
  2014           7                20.00           27.00           47.00
  2014           8                16.00           17.00           33.00
  2014           9                11.00           10.00           21.00
  2014          10                14.00           15.00           29.00
  2014          11                18.00           15.00           33.00
  2014          12                19.00           17.00           36.00
  2014          13                19.00           26.00           45.00
  2014          14                24.00           37.00           61.00
  2014          15                14.00           37.00           51.00
  2014          16                26.00           29.00           55.00
  2014          17                20.00           39.00           59.00
  2014          18                26.00           56.00           82.00
  2014          19                33.00           63.00           96.00
  2014          20                34.00           86.00          120.00
  2014          21                39.00           86.00          125.00
  2014          22                36.00           94.00          130.00
  2014          23                44.00           84.00          128.00
  2014          24                30.00           95.00          125.00
  2014          25                39.00           88.00          127.00
  2014          26                39.00           95.00          134.00
  2014          27                45.00          105.00          150.00
  2014          28                48.00          109.00          157.00
  2014          29                51.00          114.00          165.00
  2014          30                64.00          145.00          209.00
  2014          31                75.00          168.00          243.00
  2014          32                77.00          168.00          245.00
  2014          33               102.00          200.00          302.00
  2014          34               106.00          210.00          316.00
  2014          35               112.00          219.00          331.00
  2014          36               130.00          223.00          353.00
  2014          37               155.00          254.00          409.00
  2014          38               187.00          285.00          472.00
  2014          39               183.00          322.00          505.00
  2014          40               218.00          393.00          611.00
  2014          41               231.00          443.00          674.00
  2014          42               271.00          456.00          727.00
  2014          43               291.00          548.00          839.00
  2014          44               347.00          587.00          934.00
  2014          45               415.00          679.00         1094.00
  2014          46               388.00          780.00         1168.00
  2014          47               440.00          851.00         1291.00
  2014          48               472.00          983.00         1455.00
  2014          49               530.00         1101.00         1631.00
  2014          50               564.00         1147.00         1711.00
  2014          51               592.00         1254.00         1846.00
  2014          52               626.00         1360.00         1986.00
  2014          53               683.00         1395.00         2078.00
  2014          54               769.00         1538.00         2307.00
  2014          55               795.00         1725.00         2520.00
  2014          56               849.00         1756.00         2605.00
  2014          57               849.00         1784.00         2633.00
  2014          58               893.00         1875.00         2768.00
  2014          59               904.00         2025.00         2929.00
  2014          60               943.00         2134.00         3077.00
  2014          61              1042.00         2314.00         3356.00
  2014          62              1048.00         2406.00         3454.00
  2014          63              1042.00         2467.00         3509.00
  2014          64              1118.00         2603.00         3721.00
  2014          65              1278.00         3003.00         4281.00
  2014          66              1387.00         3266.00         4653.00
  2014          67              1359.00         3042.00         4401.00
  2014          68              1567.00         3438.00         5005.00
  2014          69              1715.00         3513.00         5228.00
  2014          70              1911.00         3856.00         5767.00
  2014          71              1914.00         3796.00         5710.00
  2014          72              1776.00         3463.00         5239.00
  2014          73              2163.00         4116.00         6279.00
  2014          74              2383.00         4264.00         6647.00
  2014          75              2366.00         3862.00         6228.00
  2014          76              2935.00         4610.00         7545.00
  2014          77              3628.00         5796.00         9424.00
  2014          78              4323.00         6047.00        10370.00
  2014          79              4771.00         6559.00        11330.00
  2014          80              5703.00         6930.00        12633.00
  2014          81              6320.00         7337.00        13657.00
  2014          82              6901.00         7577.00        14478.00
  2014          83              7672.00         7704.00        15376.00
  2014          84              8267.00         7661.00        15928.00
  2014          85              8783.00         7692.00        16475.00
  2014          86              8963.00         7387.00        16350.00
  2014          87              9512.00         7040.00        16552.00
  2014          88              9493.00         6666.00        16159.00
  2014          89              9663.00         6007.00        15670.00
  2014          90              9499.00         5588.00        15087.00
  2014          91              9012.00         4921.00        13933.00
  2014          92              7972.00         4255.00        12227.00
  2014          93              6908.00         3292.00        10200.00
  2014          94              5849.00         2447.00         8296.00
  2014          95              4461.00         1684.00         6145.00
  2014          96              3821.00         1281.00         5102.00
  2014          97              3001.00          966.00         3967.00
  2014          98              2275.00          726.00         3001.00
  2014          99              1773.00          486.00         2259.00
  2014         100              1242.00          335.00         1577.00
  2014         101               829.00          203.00         1032.00
  2014         102               570.00          127.00          697.00
  2014         103               348.00           82.00          430.00
  2014         104               200.00           43.00          243.00
  2014         105               110.00           28.00          138.00
  2014         106                64.00           11.00           75.00
  2014         107                35.00            6.00           41.00
  2014         108                19.00            2.00           21.00
  2014         109                 7.00            2.00            9.00
  2014         110+               13.00            0.00           13.00
