"Age" "mx" "qx" "px" "lx" "dx" "Lx" "Tx" "ex"
0 0.00262 0.00261413479751926 0.997385865202481 1e+05 261.413479751926 99776.1373098953 8564027.6818425 85.640276818425
1 0.000183 0.000182983257031982 0.999817016742968 99738.5865202481 18.2504914132411 99729.4612745415 8464251.54453261 84.8643623279569
2 0.000138 0.000137990478656973 0.999862009521343 99720.3360288348 13.7604569004531 99713.4558003846 8364522.08325807 83.8798024190312
3 7.8e-05 7.79969581186334e-05 0.999922003041881 99706.5755719344 7.77680959903652 99702.6871671348 8264808.62745768 82.8913096257623
4 0.000103 0.000102994695773168 0.999897005304227 99698.7987623354 10.268447447477 99693.6645386116 8165105.94029055 81.8977363985573
5 8.6e-05 8.59963021590072e-05 0.999914003697841 99688.5303148879 8.57284497474644 99684.2438924005 8065412.27575194 80.9061207972029
6 4.1e-05 4.09991595172299e-05 0.999959000840483 99679.9574699131 4.08679447697966 99677.9140726746 7965728.03185954 79.913036020946
7 8.3e-05 8.29965556429408e-05 0.999917003444357 99675.8706754361 8.27275394677241 99671.7342984627 7866050.11778686 78.9162920221709
8 6.7e-05 6.69977555751882e-05 0.999933002244425 99667.5979214894 6.67750536431008 99664.2591688072 7766378.3834884 77.9228008445249
9 4.7e-05 4.69988955259551e-05 0.999953001104474 99660.9204161251 4.68395318665799 99658.5784395317 7666714.12431959 76.9279883459628
10 6.1e-05 6.09981395567435e-05 0.999939001860443 99656.2364629384 6.07884501946615 99653.1970404287 7567055.54588006 75.9315805458317
11 8e-05 7.99968001279949e-05 0.999920003199872 99650.1576179189 7.97169374168385 99646.1717710481 7467402.34883963 74.9361820125898
12 8.7e-05 8.69962156646186e-05 0.999913003784335 99642.1859241772 8.66849309595375 99637.8516776293 7367756.17706858 73.9421371453561
13 8.7e-05 8.69962156646186e-05 0.999913003784335 99633.5174310813 8.66773896985888 99629.1835615964 7268118.32539095 72.9485268892416
14 0.000111 0.000110993839841889 0.999889006160158 99624.8496921114 11.0577446109985 99619.3208198059 7168489.14182936 71.9548301852743
15 6.7e-05 6.69977555751882e-05 0.999933002244425 99613.7919475004 6.67390048481629 99610.454997258 7068869.82100955 70.9627621116468
16 0.000126 0.000125992062500063 0.9998740079375 99607.1180470156 12.5497062424307 99600.8431938944 6969259.36601229 69.9674832748672
17 9.6e-05 9.59953922211734e-05 0.999904004607779 99594.5683407732 9.56061965097098 99589.7880309477 6869658.5228184 68.9762367292275
18 0.000126 0.000125992062500063 0.9998740079375 99585.0077211222 12.5469205168688 99578.7342608638 6770068.73478745 67.9828107635072
