  Year          Age             Female            Male           Total
    2015        0            366281.00       382538.00       748819.00
     2015        1            364907.00       383474.00       748381.00
     2015        2            373028.00       391084.00       764112.00
     2015        3            380083.00       395108.00       775191.00
     2015        4            389662.00       407265.00       796927.00
     2015        5            387258.00       406996.00       794254.00
     2015        6            391357.00       409029.00       800386.00
     2015        7            388223.00       406089.00       794312.00
     2015        8            395185.00       414560.00       809745.00
     2015        9            386706.00       405434.00       792140.00
     2015       10            385601.00       403471.00       789072.00
     2015       11            383881.00       401535.00       785416.00
     2015       12            385162.00       404476.00       789638.00
     2015       13            392416.00       411811.00       804227.00
     2015       14            399932.00       420009.00       819941.00
     2015       15            381401.00       402778.00       784179.00
     2015       16            380877.00       399759.00       780636.00
     2015       17            371617.00       390927.00       762544.00
     2015       18            372881.00       392264.00       765145.00
     2015       19            368727.00       384559.00       753286.00
     2015       20            357543.00       370283.00       727826.00
     2015       21            353430.00       365172.00       718602.00
     2015       22            369433.00       380640.00       750073.00
     2015       23            374479.00       378355.00       752834.00
     2015       24            380328.00       382056.00       762384.00
     2015       25            382201.00       378130.00       760331.00
     2015       26            387362.00       379405.00       766767.00
     2015       27            386553.00       378781.00       765334.00
     2015       28            396321.00       382595.00       778916.00
     2015       29            394395.00       382606.00       777001.00
     2015       30            394880.00       378857.00       773737.00
     2015       31            390245.00       375651.00       765896.00
     2015       32            414626.00       401294.00       815920.00
     2015       33            420162.00       405718.00       825880.00
     2015       34            425308.00       413295.00       838603.00
     2015       35            402409.00       391306.00       793715.00
     2015       36            394849.00       386026.00       780875.00
     2015       37            396670.00       392149.00       788819.00
     2015       38            388025.00       380888.00       768913.00
     2015       39            398141.00       393048.00       791189.00
     2015       40            419483.00       417200.00       836683.00
     2015       41            446371.00       440093.00       886464.00
     2015       42            453744.00       450585.00       904329.00
     2015       43            452246.00       448290.00       900536.00
     2015       44            443746.00       441126.00       884872.00
     2015       45            438831.00       431545.00       870376.00
     2015       46            437631.00       426021.00       863652.00
     2015       47            434500.00       424801.00       859301.00
     2015       48            445542.00       434502.00       880044.00
     2015       49            446757.00       435807.00       882564.00
     2015       50            453889.00       438173.00       892062.00
     2015       51            448395.00       433780.00       882175.00
     2015       52            432916.00       417113.00       850029.00
     2015       53            435309.00       417726.00       853035.00
     2015       54            433997.00       415771.00       849768.00
     2015       55            433611.00       411231.00       844842.00
     2015       56            424003.00       401898.00       825901.00
     2015       57            424227.00       398778.00       823005.00
     2015       58            421488.00       393835.00       815323.00
     2015       59            418537.00       386769.00       805306.00
     2015       60            417576.00       388026.00       805602.00
     2015       61            409331.00       378260.00       787591.00
     2015       62            416463.00       382945.00       799408.00
     2015       63            406769.00       373762.00       780531.00
     2015       64            421921.00       386653.00       808574.00
     2015       65            415326.00       377285.00       792611.00
     2015       66            412255.00       376955.00       789210.00
     2015       67            405507.00       367398.00       772905.00
     2015       68            385444.00       345892.00       731336.00
     2015       69            289441.00       257409.00       546850.00
     2015       70            284306.00       249569.00       533875.00
     2015       71            276119.00       241076.00       517195.00
     2015       72            254581.00       221070.00       475651.00
     2015       73            228657.00       194707.00       423364.00
     2015       74            239949.00       198435.00       438384.00
     2015       75            252090.00       203823.00       455913.00
     2015       76            249272.00       196733.00       446005.00
     2015       77            245351.00       186873.00       432224.00
     2015       78            245388.00       182105.00       427493.00
     2015       79            240586.00       171539.00       412125.00
     2015       80            241273.00       167298.00       408571.00
     2015       81            228952.00       152286.00       381238.00
     2015       82            232245.00       148712.00       380957.00
     2015       83            220106.00       136107.00       356213.00
     2015       84            212258.00       124481.00       336739.00
     2015       85            190912.00       107131.00       298043.00
     2015       86            177573.00        94703.00       272276.00
     2015       87            161584.00        81435.00       243019.00
     2015       88            148354.00        69934.00       218288.00
     2015       89            129355.34        58820.28       188175.62
     2015       90            111721.06        47786.63       159507.69
     2015       91             98850.58        39391.50       138242.08
     2015       92             84101.37        31071.47       115172.84
     2015       93             72709.76        24845.11        97554.87
     2015       94             59161.58        18677.42        77839.00
     2015       95             28530.68         8285.84        36816.52
     2015       96             19123.45         4951.40        24074.85
     2015       97             13144.58         3022.64        16167.22
     2015       98              8822.89         1858.89        10681.78
     2015       99              7720.20         1437.23         9157.43
     2015      100              8093.31         1401.37         9494.68
     2015      101              5109.68          825.14         5934.82
     2015      102              3246.40          461.32         3707.72
     2015      103              1849.66          224.35         2074.01
     2015      104              1098.86          115.55         1214.41
     2015      105               587.49           60.77          648.26
     2015      106               338.75           32.69          371.44
     2015      107               172.53           13.56          186.09
     2015      108                95.69            6.57          102.26
     2015      109                47.93            2.47           50.40
     2015      110+               40.27            0.88           41.15
