Year    Age        ASFR
1922     12-    0.00000
1922     13     0.00001
1922     14     0.00011
1922     15     0.00054
1922     16     0.00212
1922     17     0.00645
1922     18     0.01572
1922     19     0.03152
1922     20     0.05659
1922     21     0.09058
1922     22     0.13031
1922     23     0.17021
1922     24     0.20458
1922     25     0.22221
1922     26     0.23312
1922     27     0.23750
1922     28     0.24012
1922     29     0.24495
1922     30     0.23481
1922     31     0.21307
1922     32     0.19990
1922     33     0.19540
1922     34     0.19752
1922     35     0.19084
1922     36     0.17425
1922     37     0.15710
1922     38     0.13924
1922     39     0.12070
1922     40     0.10231
1922     41     0.08381
1922     42     0.06295
1922     43     0.04434
1922     44     0.02984
1922     45     0.01903
1922     46     0.01255
1922     47     0.00959
1922     48     0.00797
1922     49     0.00653
1922     50     0.00603
1922     51     0.00279
1922     52     0.00062
1922     53     0.00011
1922     54     0.00002
1922     55+    0.00000
1923     12-    0.00000
1923     13     0.00001
1923     14     0.00013
1923     15     0.00061
1923     16     0.00232
1923     17     0.00686
1923     18     0.01628
1923     19     0.03216
1923     20     0.05642
1923     21     0.08923
1923     22     0.12744
1923     23     0.16653
1923     24     0.20228
1923     25     0.22306
1923     26     0.23707
1923     27     0.24332
1923     28     0.24568
1923     29     0.24776
1923     30     0.23479
1923     31     0.21129
1923     32     0.19708
1923     33     0.19220
1923     34     0.19451
1923     35     0.18799
1923     36     0.17133
1923     37     0.15472
1923     38     0.13770
1923     39     0.12002
1923     40     0.10489
1923     41     0.08602
1923     42     0.06486
1923     43     0.04590
1923     44     0.03104
1923     45     0.01958
1923     46     0.01294
1923     47     0.00965
1923     48     0.00766
1923     49     0.00594
1923     50     0.00549
1923     51     0.00251
1923     52     0.00058
1923     53     0.00011
1923     54     0.00002
1923     55+    0.00000
1924     12-    0.00000
1924     13     0.00001
1924     14     0.00009
1924     15     0.00045
1924     16     0.00188
1924     17     0.00612
1924     18     0.01558
1924     19     0.03134
1924     20     0.05328
1924     21     0.08314
1924     22     0.11730
1924     23     0.15280
1924     24     0.18818
1924     25     0.21630
1924     26     0.23362
1924     27     0.24203
1924     28     0.24419
1924     29     0.24318
1924     30     0.22720
1924     31     0.20218
1924     32     0.18800
1924     33     0.18465
1924     34     0.18979
1924     35     0.18888
1924     36     0.17495
1924     37     0.15792
1924     38     0.13871
1924     39     0.11842
1924     40     0.10375
1924     41     0.08443
1924     42     0.06433
1924     43     0.04657
1924     44     0.03247
1924     45     0.02059
1924     46     0.01383
1924     47     0.01068
1924     48     0.00888
1924     49     0.00724
1924     50     0.00741
1924     51     0.00339
1924     52     0.00073
1924     53     0.00013
1924     54     0.00002
1924     55+    0.00000
1925     12-    0.00000
1925     13     0.00001
1925     14     0.00016
1925     15     0.00072
1925     16     0.00248
1925     17     0.00666
1925     18     0.01475
1925     19     0.02875
1925     20     0.05135
1925     21     0.08264
1925     22     0.12025
1925     23     0.15903
1925     24     0.19276
1925     25     0.21498
1925     26     0.22816
1925     27     0.23357
1925     28     0.23503
1925     29     0.23607
1925     30     0.22194
1925     31     0.19879
1925     32     0.18509
1925     33     0.18079
1925     34     0.18372
1925     35     0.17772
1925     36     0.16226
1925     37     0.14690
1925     38     0.13107
1925     39     0.11446
1925     40     0.10269
1925     41     0.08450
1925     42     0.06238
1925     43     0.04261
1925     44     0.02759
1925     45     0.01591
1925     46     0.01030
1925     47     0.00787
1925     48     0.00666
1925     49     0.00561
1925     50     0.00562
1925     51     0.00265
1925     52     0.00059
1925     53     0.00011
1925     54     0.00002
1925     55+    0.00000
1926     12-    0.00000
1926     13     0.00001
1926     14     0.00015
1926     15     0.00071
1926     16     0.00256
1926     17     0.00715
1926     18     0.01627
1926     19     0.03178
1926     20     0.05581
1926     21     0.08891
1926     22     0.12772
1926     23     0.16663
1926     24     0.19952
1926     25     0.21844
1926     26     0.22836
1926     27     0.23204
1926     28     0.23420
1926     29     0.23860
1926     30     0.22858
1926     31     0.20804
1926     32     0.19421
1926     33     0.18728
1926     34     0.18560
1926     35     0.17275
1926     36     0.15445
1926     37     0.13944
1926     38     0.12603
1926     39     0.11267
1926     40     0.10168
1926     41     0.08530
1926     42     0.06258
1926     43     0.04185
1926     44     0.02625
1926     45     0.01500
1926     46     0.00958
1926     47     0.00751
1926     48     0.00679
1926     49     0.00623
1926     50     0.00674
1926     51     0.00326
1926     52     0.00069
1926     53     0.00011
1926     54     0.00002
1926     55+    0.00000
1927     12-    0.00000
1927     13     0.00001
1927     14     0.00010
1927     15     0.00049
1927     16     0.00195
1927     17     0.00596
1927     18     0.01457
1927     19     0.02917
1927     20     0.05086
1927     21     0.08100
1927     22     0.11612
1927     23     0.15169
1927     24     0.18337
1927     25     0.20473
1927     26     0.21588
1927     27     0.22065
1927     28     0.22317
1927     29     0.22695
1927     30     0.21741
1927     31     0.19764
1927     32     0.18444
1927     33     0.17805
1927     34     0.17695
1927     35     0.16547
1927     36     0.14768
1927     37     0.13409
1927     38     0.12254
1927     39     0.11100
1927     40     0.10121
1927     41     0.08509
1927     42     0.06254
1927     43     0.04186
1927     44     0.02631
1927     45     0.01559
1927     46     0.00996
1927     47     0.00747
1927     48     0.00617
1927     49     0.00508
1927     50     0.00482
1927     51     0.00226
1927     52     0.00052
1927     53     0.00010
1927     54     0.00002
1927     55+    0.00000
1928     12-    0.00000
1928     13     0.00002
1928     14     0.00019
1928     15     0.00082
1928     16     0.00275
1928     17     0.00712
1928     18     0.01541
1928     19     0.02996
1928     20     0.05311
1928     21     0.08643
1928     22     0.12662
1928     23     0.16684
1928     24     0.19809
1928     25     0.21386
1928     26     0.22142
1928     27     0.22348
1928     28     0.22521
1928     29     0.23055
1928     30     0.22339
1928     31     0.20423
1928     32     0.19070
1928     33     0.18306
1928     34     0.17991
1928     35     0.16670
1928     36     0.14763
1928     37     0.13367
1928     38     0.12236
1928     39     0.11139
1928     40     0.10282
1928     41     0.08688
1928     42     0.06386
1928     43     0.04264
1928     44     0.02667
1928     45     0.01591
1928     46     0.01016
1928     47     0.00770
1928     48     0.00651
1928     49     0.00551
1928     50     0.00552
1928     51     0.00261
1928     52     0.00059
1928     53     0.00011
1928     54     0.00002
1928     55+    0.00000
1929     12-    0.00000
1929     13     0.00002
1929     14     0.00029
1929     15     0.00110
1929     16     0.00324
1929     17     0.00748
1929     18     0.01486
1929     19     0.02818
1929     20     0.05148
1929     21     0.08421
1929     22     0.12422
1929     23     0.16379
1929     24     0.19188
1929     25     0.20444
1929     26     0.20897
1929     27     0.20963
1929     28     0.21192
1929     29     0.21975
1929     30     0.21748
1929     31     0.20125
1929     32     0.18882
1929     33     0.18051
1929     34     0.17534
1929     35     0.16125
1929     36     0.14161
1929     37     0.12790
1929     38     0.11742
1929     39     0.10758
1929     40     0.10141
1929     41     0.08603
1929     42     0.06310
1929     43     0.04189
1929     44     0.02600
1929     45     0.01540
1929     46     0.00980
1929     47     0.00746
1929     48     0.00639
1929     49     0.00549
1929     50     0.00570
1929     51     0.00272
1929     52     0.00061
1929     53     0.00011
1929     54     0.00002
1929     55+    0.00000
1930     12-    0.00000
1930     13     0.00002
1930     14     0.00027
1930     15     0.00103
1930     16     0.00315
1930     17     0.00750
1930     18     0.01523
1930     19     0.02892
1930     20     0.05309
1930     21     0.08631
1930     22     0.12629
1930     23     0.16515
1930     24     0.19216
1930     25     0.20295
1930     26     0.20595
1930     27     0.20586
1930     28     0.20843
1930     29     0.21759
1930     30     0.21529
1930     31     0.20015
1930     32     0.18858
1930     33     0.18087
1930     34     0.17601
1930     35     0.16336
1930     36     0.14418
1930     37     0.12974
1930     38     0.11785
1930     39     0.10644
1930     40     0.09591
1930     41     0.08073
1930     42     0.05917
1930     43     0.03943
1930     44     0.02462
1930     45     0.01466
1930     46     0.00935
1930     47     0.00725
1930     48     0.00642
1930     49     0.00574
1930     50     0.00560
1930     51     0.00269
1930     52     0.00059
1930     53     0.00010
1930     54     0.00002
1930     55+    0.00000
1931     12-    0.00000
1931     13     0.00003
1931     14     0.00036
1931     15     0.00127
1931     16     0.00365
1931     17     0.00817
1931     18     0.01578
1931     19     0.02933
1931     20     0.05400
1931     21     0.08659
1931     22     0.12554
1931     23     0.16352
1931     24     0.19063
1931     25     0.20168
1931     26     0.20634
1931     27     0.20637
1931     28     0.20660
1931     29     0.21056
1931     30     0.20102
1931     31     0.18250
1931     32     0.17079
1931     33     0.16575
1931     34     0.16564
1931     35     0.15866
1931     36     0.14331
1931     37     0.12938
1931     38     0.11588
1931     39     0.10202
1931     40     0.08586
1931     41     0.07082
1931     42     0.05279
1931     43     0.03654
1931     44     0.02403
1931     45     0.01524
1931     46     0.00994
1931     47     0.00737
1931     48     0.00586
1931     49     0.00458
1931     50     0.00354
1931     51     0.00164
1931     52     0.00039
1931     53     0.00007
1931     54     0.00001
1931     55+    0.00000
1932     12-    0.00000
1932     13     0.00002
1932     14     0.00028
1932     15     0.00110
1932     16     0.00342
1932     17     0.00821
1932     18     0.01668
1932     19     0.03144
1932     20     0.05791
1932     21     0.09251
1932     22     0.13314
1932     23     0.17204
1932     24     0.19962
1932     25     0.21029
1932     26     0.21406
1932     27     0.21258
1932     28     0.21083
1932     29     0.21238
1932     30     0.20080
1932     31     0.17998
1932     32     0.16768
1932     33     0.16345
1932     34     0.16515
1932     35     0.16066
1932     36     0.14677
1932     37     0.13222
1932     38     0.11689
1932     39     0.10090
1932     40     0.08414
1932     41     0.06850
1932     42     0.05141
1932     43     0.03627
1932     44     0.02447
1932     45     0.01592
1932     46     0.01050
1932     47     0.00771
1932     48     0.00596
1932     49     0.00449
1932     50     0.00368
1932     51     0.00169
1932     52     0.00041
1932     53     0.00008
1932     54     0.00001
1932     55+    0.00000
1933     12-    0.00000
1933     13     0.00003
1933     14     0.00037
1933     15     0.00131
1933     16     0.00384
1933     17     0.00876
1933     18     0.01713
1933     19     0.03191
1933     20     0.05753
1933     21     0.09200
1933     22     0.13265
1933     23     0.17130
1933     24     0.19748
1933     25     0.20514
1933     26     0.20812
1933     27     0.20610
1933     28     0.20394
1933     29     0.20514
1933     30     0.19401
1933     31     0.17361
1933     32     0.16203
1933     33     0.15879
1933     34     0.16175
1933     35     0.15931
1933     36     0.14715
1933     37     0.13273
1933     38     0.11667
1933     39     0.09972
1933     40     0.08431
1933     41     0.06888
1933     42     0.05156
1933     43     0.03620
1933     44     0.02430
1933     45     0.01536
1933     46     0.01012
1933     47     0.00790
1933     48     0.00685
1933     49     0.00591
1933     50     0.00630
1933     51     0.00298
1933     52     0.00065
1933     53     0.00011
1933     54     0.00002
1933     55+    0.00000
1934     12-    0.00000
1934     13     0.00001
1934     14     0.00007
1934     15     0.00039
1934     16     0.00181
1934     17     0.00642
1934     18     0.01736
1934     19     0.03512
1934     20     0.05833
1934     21     0.08881
1934     22     0.12120
1934     23     0.15177
1934     24     0.17920
1934     25     0.19854
1934     26     0.20537
1934     27     0.20509
1934     28     0.20133
1934     29     0.19721
1934     30     0.18120
1934     31     0.15875
1934     32     0.14649
1934     33     0.14370
1934     34     0.14804
1934     35     0.14888
1934     36     0.13874
1934     37     0.12498
1934     38     0.10887
1934     39     0.09181
1934     40     0.07858
1934     41     0.06409
1934     42     0.04796
1934     43     0.03372
1934     44     0.02266
1934     45     0.01401
1934     46     0.00923
1934     47     0.00741
1934     48     0.00681
1934     49     0.00630
1934     50     0.00783
1934     51     0.00377
1934     52     0.00078
1934     53     0.00012
1934     54     0.00002
1934     55+    0.00000
1935     12-    0.00000
1935     13     0.00001
1935     14     0.00012
1935     15     0.00057
1935     16     0.00227
1935     17     0.00696
1935     18     0.01685
1935     19     0.03315
1935     20     0.05572
1935     21     0.08649
1935     22     0.12047
1935     23     0.15265
1935     24     0.17906
1935     25     0.19586
1935     26     0.20146
1935     27     0.20039
1935     28     0.19653
1935     29     0.19305
1935     30     0.17750
1935     31     0.15557
1935     32     0.14369
1935     33     0.14114
1935     34     0.14551
1935     35     0.14493
1935     36     0.13522
1935     37     0.12152
1935     38     0.10531
1935     39     0.08817
1935     40     0.07539
1935     41     0.06126
1935     42     0.04540
1935     43     0.03149
1935     44     0.02082
1935     45     0.01239
1935     46     0.00808
1935     47     0.00653
1935     48     0.00616
1935     49     0.00590
1935     50     0.00739
1935     51     0.00362
1935     52     0.00074
1935     53     0.00011
1935     54     0.00002
1935     55+    0.00000
1936     12-    0.00000
1936     13     0.00002
1936     14     0.00018
1936     15     0.00079
1936     16     0.00270
1936     17     0.00716
1936     18     0.01560
1936     19     0.02987
1936     20     0.05123
1936     21     0.08075
1936     22     0.11460
1936     23     0.14709
1936     24     0.17220
1936     25     0.18639
1936     26     0.19126
1936     27     0.19045
1936     28     0.18796
1936     29     0.18683
1936     30     0.17475
1936     31     0.15536
1936     32     0.14359
1936     33     0.13904
1936     34     0.13985
1936     35     0.13324
1936     36     0.12145
1936     37     0.10919
1936     38     0.09646
1936     39     0.08341
1936     40     0.07231
1936     41     0.05960
1936     42     0.04520
1936     43     0.03222
1936     44     0.02197
1936     45     0.01352
1936     46     0.00900
1936     47     0.00706
1936     48     0.00610
1936     49     0.00522
1936     50     0.00526
1936     51     0.00247
1936     52     0.00053
1936     53     0.00009
1936     54     0.00001
1936     55+    0.00000
1937     12-    0.00000
1937     13     0.00001
1937     14     0.00016
1937     15     0.00077
1937     16     0.00268
1937     17     0.00722
1937     18     0.01581
1937     19     0.02982
1937     20     0.04900
1937     21     0.07529
1937     22     0.10438
1937     23     0.13186
1937     24     0.15380
1937     25     0.16675
1937     26     0.17044
1937     27     0.16990
1937     28     0.16871
1937     29     0.16952
1937     30     0.16111
1937     31     0.14492
1937     32     0.13443
1937     33     0.12937
1937     34     0.12834
1937     35     0.12008
1937     36     0.10785
1937     37     0.09705
1937     38     0.08686
1937     39     0.07661
1937     40     0.06816
1937     41     0.05657
1937     42     0.04244
1937     43     0.02959
1937     44     0.01960
1937     45     0.01199
1937     46     0.00787
1937     47     0.00598
1937     48     0.00494
1937     49     0.00404
1937     50     0.00390
1937     51     0.00182
1937     52     0.00042
1937     53     0.00008
1937     54     0.00001
1937     55+    0.00000
1938     12-    0.00000
1938     13     0.00002
1938     14     0.00019
1938     15     0.00087
1938     16     0.00287
1938     17     0.00728
1938     18     0.01505
1938     19     0.02698
1938     20     0.04139
1938     21     0.06075
1938     22     0.08147
1938     23     0.10149
1938     24     0.11973
1938     25     0.13191
1938     26     0.13695
1938     27     0.13975
1938     28     0.14305
1938     29     0.14890
1938     30     0.14680
1938     31     0.13694
1938     32     0.12993
1938     33     0.12596
1938     34     0.12422
1938     35     0.11574
1938     36     0.10362
1938     37     0.09352
1938     38     0.08441
1938     39     0.07532
1938     40     0.06794
1938     41     0.05668
1938     42     0.04231
1938     43     0.02916
1938     44     0.01902
1938     45     0.01152
1938     46     0.00749
1938     47     0.00572
1938     48     0.00481
1938     49     0.00401
1938     50     0.00397
1938     51     0.00185
1938     52     0.00041
1938     53     0.00007
1938     54     0.00001
1938     55+    0.00000
1939     12-    0.00000
1939     13     0.00001
1939     14     0.00007
1939     15     0.00034
1939     16     0.00135
1939     17     0.00414
1939     18     0.00988
1939     19     0.01865
1939     20     0.02911
1939     21     0.04341
1939     22     0.05863
1939     23     0.07312
