  Year          Age             Female            Male           Total
  2015        0            206335.00       220124.00       426459.00
     2015        1            207092.00       219379.00       426471.00
     2015        2            219289.00       233271.00       452560.00
     2015        3            228890.00       243501.00       472391.00
     2015        4            231869.00       246943.00       478812.00
     2015        5            236444.00       253087.00       489531.00
     2015        6            249605.00       266749.00       516354.00
     2015        7            241219.00       257024.00       498243.00
     2015        8            239646.00       255372.00       495018.00
     2015        9            235774.00       249457.00       485231.00
     2015       10            232809.00       247620.00       480429.00
     2015       11            229798.00       242135.00       471933.00
     2015       12            220523.00       233461.00       453984.00
     2015       13            219669.00       231464.00       451133.00
     2015       14            217726.00       232804.00       450530.00
     2015       15            214277.00       226061.00       440338.00
     2015       16            206449.00       220946.00       427395.00
     2015       17            208990.00       221219.00       430209.00
     2015       18            208109.00       219381.00       427490.00
     2015       19            207501.00       220363.00       427864.00
     2015       20            211669.00       223703.00       435372.00
     2015       21            221930.00       232432.00       454362.00
     2015       22            231882.00       240293.00       472175.00
     2015       23            232915.00       240732.00       473647.00
     2015       24            239362.00       244382.00       483744.00
     2015       25            246970.00       250457.00       497427.00
     2015       26            254964.00       256407.00       511371.00
     2015       27            261977.00       262191.00       524168.00
     2015       28            272062.00       270481.00       542543.00
     2015       29            282481.00       282350.00       564831.00
     2015       30            295775.00       295461.00       591236.00
     2015       31            306871.00       307664.00       614535.00
     2015       32            325721.00       328386.00       654107.00
     2015       33            340521.00       345897.00       686418.00
     2015       34            358173.00       365396.00       723569.00
     2015       35            369591.00       378174.00       747765.00
     2015       36            385578.00       398797.00       784375.00
     2015       37            389979.00       407261.00       797240.00
     2015       38            398364.00       414144.00       812508.00
     2015       39            394981.00       412922.00       807903.00
     2015       40            393270.00       409282.00       802552.00
     2015       41            383330.00       399761.00       783091.00
     2015       42            382029.00       398044.00       780073.00
     2015       43            376630.00       390403.00       767033.00
     2015       44            371955.00       384964.00       756919.00
     2015       45            369953.00       379744.00       749697.00
     2015       46            367445.00       376303.00       743748.00
     2015       47            370705.00       376773.00       747478.00
     2015       48            361380.00       366615.00       727995.00
     2015       49            360196.00       361895.00       722091.00
     2015       50            365070.00       365661.00       730731.00
     2015       51            347305.00       347712.00       695017.00
     2015       52            336927.00       334461.00       671388.00
     2015       53            329684.00       325236.00       654920.00
     2015       54            331123.00       325819.00       656942.00
     2015       55            322091.00       315877.00       637968.00
     2015       56            315236.00       307581.00       622817.00
     2015       57            307687.00       298333.00       606020.00
     2015       58            287526.00       277499.00       565025.00
     2015       59            278702.00       267843.00       546545.00
     2015       60            266824.00       253532.00       520356.00
     2015       61            266006.00       253431.00       519437.00
     2015       62            264054.00       252105.00       516159.00
     2015       63            248244.00       233456.00       481700.00
     2015       64            243087.00       227096.00       470183.00
     2015       65            254064.00       233191.00       487255.00
     2015       66            265342.00       243265.00       508607.00
     2015       67            242537.00       220707.00       463244.00
     2015       68            232531.00       208067.00       440598.00
     2015       69            242412.00       215397.00       457809.00
     2015       70            230194.00       202922.00       433116.00
     2015       71            225723.00       196903.00       422626.00
     2015       72            194053.00       168051.00       362104.00
     2015       73            178161.00       152368.00       330529.00
     2015       74            218387.00       182266.00       400653.00
     2015       75            146542.00       116964.00       263506.00
     2015       76            164203.00       129822.00       294025.00
     2015       77            182282.00       140998.00       323280.00
     2015       78            198458.00       147436.00       345894.00
     2015       79            187937.00       138425.00       326362.00
     2015       80            182801.00       130830.00       313631.00
     2015       81            182582.00       126499.00       309081.00
     2015       82            174615.00       117618.00       292233.00
     2015       83            158719.00       103998.00       262717.00
     2015       84            153530.00        94373.00       247903.00
     2015       85            136273.00        80821.00       217094.00
     2015       86            126216.00        70903.00       197119.00
     2015       87            108491.00        58546.00       167037.00
     2015       88             98829.00        50441.00       149270.00
     2015       89             84186.00        40717.00       124903.00
     2015       90             73860.60        34222.58       108083.18
     2015       91             60761.92        27331.71        88093.63
     2015       92             51754.13        20643.06        72397.19
     2015       93             38491.99        15645.38        54137.37
     2015       94             30039.39        10364.56        40403.95
     2015       95             20269.56         6476.79        26746.35
     2015       96             15569.13         4572.48        20141.61
     2015       97             10981.27         3047.58        14028.85
     2015       98              7699.00         2061.48         9760.48
     2015       99              5325.16         1368.22         6693.38
     2015      100              3566.15          834.72         4400.87
     2015      101              2251.61          505.64         2757.25
     2015      102              1439.43          305.27         1744.70
     2015      103               799.65          165.27          964.92
     2015      104               439.78           80.23          520.01
     2015      105               233.88           42.28          276.16
     2015      106               116.80           19.09          135.89
     2015      107                59.81            8.77           68.58
     2015      108                30.24            5.76           36.00
     2015      109                12.39            1.90           14.29
     2015      110+                7.14            1.20            8.34
